2020-06-15 00:05:22.674 security [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'febsAsyncThreadPool'
2020-06-15 00:05:22.701 security [SpringContextShutdownHook] INFO  c.b.d.d.DynamicRoutingDataSource - closing dynamicDatasource  ing....
2020-06-15 00:05:22.701 security [SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - base - Shutdown initiated...
2020-06-15 00:05:22.717 security [SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - base - Shutdown completed.
2020-06-15 08:41:51.008 security [restartedMain] INFO  c.jzrd.security.SecurityApplication - Starting SecurityApplication on Lucky-HP with PID 16688 (D:\IDEA_workspaces\security\target\classes started by Dreamer in D:\IDEA_workspaces\security)
2020-06-15 08:41:51.013 security [restartedMain] INFO  c.jzrd.security.SecurityApplication - The following profiles are active: dev
2020-06-15 08:41:51.150 security [restartedMain] INFO  o.s.b.d.restart.ChangeableUrls - The Class-Path manifest attribute in D:\maven\repository\org\glassfish\jaxb\jaxb-runtime\2.3.2\jaxb-runtime-2.3.2.jar referenced one or more files that do not exist: file:/D:/maven/repository/org/glassfish/jaxb/jaxb-runtime/2.3.2/jakarta.xml.bind-api-2.3.2.jar,file:/D:/maven/repository/org/glassfish/jaxb/jaxb-runtime/2.3.2/txw2-2.3.2.jar,file:/D:/maven/repository/org/glassfish/jaxb/jaxb-runtime/2.3.2/istack-commons-runtime-3.0.8.jar,file:/D:/maven/repository/org/glassfish/jaxb/jaxb-runtime/2.3.2/stax-ex-1.8.1.jar,file:/D:/maven/repository/org/glassfish/jaxb/jaxb-runtime/2.3.2/FastInfoset-1.2.16.jar,file:/D:/maven/repository/org/glassfish/jaxb/jaxb-runtime/2.3.2/jakarta.activation-api-1.2.1.jar
2020-06-15 08:41:51.151 security [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-06-15 08:41:51.151 security [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2020-06-15 08:41:53.116 security [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-06-15 08:41:53.120 security [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-06-15 08:41:53.181 security [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 34ms. Found 0 Redis repository interfaces.
